steps,episode_reward
200,106.82891601324081
385,80.64995029568672
514,63.38949567079544
817,158.01703223586082
1045,124.13437059521675
1147,49.435479789972305
1396,140.1591319143772
1688,142.78107306361198
1843,73.18731987476349
2077,97.27538678050041
2255,86.86529541015625
2477,108.26820880174637
2609,61.027545779943466
2833,118.67428907752037
2986,65.59471026062965
3206,98.0834356546402
3470,135.22056430578232
3692,125.2023831307888
4062,192.5803274512291
4254,97.93714734911919
4432,89.79038795828819
4599,87.77358394861221
4822,109.60874500870705
4977,74.96378156542778
5114,57.58624382317066
5516,195.5073915719986
5702,92.26109045743942
6133,223.37362730503082
6367,123.66127851605415
6694,169.77671349048615
6784,46.42251196503639
7024,116.7099564820528
7202,82.20957869291306
7701,213.8081474751234
8078,200.2087205350399
8524,243.97352331876755
8993,245.50598245859146
9144,63.68333265185356
9278,69.90128406882286
9815,265.7180726826191
10406,292.88769671320915
10772,195.59271505475044
10945,96.19723778963089
11129,85.1725103855133
11574,234.29247111082077
11749,92.62535956501961
12006,126.44336450099945
12222,101.56698626279831
12375,74.79056963324547
12624,98.86940747499466
13084,238.56997215747833
13484,206.6090139746666
13736,128.66025748848915
13863,65.29962596297264
13982,61.99328735470772
14356,174.03505024313927
14558,102.5872013270855
14801,121.09339374303818
15052,127.00202712416649
15470,202.68650725483894
15823,170.20690281689167
15996,85.80922311544418
16108,58.931920289993286
16276,82.63316708803177
16845,318.64905843138695
17116,134.22411555051804
17438,166.03135031461716
17734,151.08668527007103
17975,121.46433779597282
18137,78.92835828661919
18344,103.11747163534164
18817,244.4220481812954
18990,97.41853401064873
19190,107.98798686265945
19634,238.26857712864876
19927,152.79354524612427
20018,43.63706582784653
20730,395.83389553427696
21124,208.73733937740326
21435,136.81097112596035
21854,223.52226892113686
22002,80.38849011063576
22244,127.20559823513031
22492,132.94812959432602
22925,219.7892450094223
23261,171.89073994755745
23394,68.15261894464493
23550,79.58565708994865
23724,95.83222901821136
24006,164.6494382917881
24163,84.47530177235603
24753,321.5830610692501
24942,92.77979132533073
25294,174.80058255791664
25446,86.11566603183746
25576,66.40926030278206
