steps,episode_reward
1002274,533.0972073674202
1004648,1671.79818674922
1010511,3669.723761603236
1011213,549.7339460849762
1016390,3584.0478928387165
1018187,1245.4628903865814
1024972,4937.705429017544
1030535,3858.55080935359
1035259,2593.1065904895404
1035822,436.0487906932831
1036476,507.5785427391529
1037654,851.8626057803631
1038740,776.531614035368
1043333,3152.5936291217804
1044177,585.9720467031002
1046569,1697.5798344016075
1048036,1012.0629243850708
1055537,5363.980234056711
1056649,797.6104902923107
1061356,3298.503156274557
1061869,369.07502672076225
1062989,793.9564867019653
1063348,243.13757553696632
1065757,1689.064616560936
1066502,518.4452684819698
1067202,452.9691881239414
1070105,1805.4170346558094
1075098,3511.1918072104454
1076963,1249.7855875492096
1082980,4142.7248974740505
1083739,529.8372907042503
1084563,554.5771812200546
1087934,2404.858867585659
1093138,3760.3836775422096
1093815,480.0642098784447
1101119,5258.441417455673
1103683,1833.501317948103
1105279,1100.9173645675182
1105837,389.5096335709095
1106601,532.1436741352081
1111709,3750.612317919731
1113952,1522.9889457523823
1118621,3233.1794673502445
1123461,3439.26318398118
1124260,540.3388271331787
1124454,124.0150528550148
1125015,378.41918936371803
1125603,401.2094938457012
1126058,309.53463301062584
1126953,622.1080752909184
1128220,851.9045617580414
1128413,125.45667964220047
1130821,1678.1076599359512
1131283,325.8792643249035
1134943,2582.5714324116707
1136740,1299.3274778425694
1137315,392.8715572953224
1137799,342.1795268058777
1140244,1743.3984614610672
1145560,3835.637817263603
1146788,840.6333420574665
1147837,742.2048215568066
1149985,1572.7422235906124
1150112,86.57242488861084
1150302,121.80448111891747
1150766,328.9026385843754
1150890,84.99827432632446
1151453,392.8939062356949
1153218,1239.223736912012
1153666,294.6201036274433
1154857,825.2486871778965
1155336,339.08335971832275
1156058,482.6802945137024
1157315,888.1223981976509
1157467,100.04996135830879
1157808,251.40642017126083
1157924,79.12201845645905
1158329,290.28874483704567
1158771,317.8900063633919
1159209,316.68585431575775
1159522,229.79735052585602
1159752,157.0572275519371
1160131,271.27938282489777
1160243,76.71215748786926
1161891,1095.1955731511116
1162320,304.5443841814995
1162429,74.04335051774979
1165953,2198.3834958970547
