steps,episode_reward
229,104.37928254902363
343,52.24581587314606
540,87.74965211749077
712,73.26848059892654
768,31.857732355594635
1029,118.99087756872177
1151,59.903050899505615
1280,59.293473571538925
1490,115.07063645124435
1671,85.53736892342567
1868,90.39822176098824
1998,60.565166383981705
2143,60.88019260764122
2271,57.63332976400852
2664,164.8165357708931
2935,126.00971812009811
3153,101.42878033220768
3219,24.971443742513657
3425,79.09207798540592
3553,61.46140167117119
3572,6.956592351198196
3769,84.96739766001701
3843,35.46706956624985
3862,6.324821352958679
4112,118.64288398623466
4317,77.6321741193533
4661,164.258202791214
4895,105.78099030256271
5149,115.24411495029926
5269,59.39975827932358
5376,48.33043548464775
5536,63.785228848457336
5712,81.93671736121178
5823,49.63191767036915
5960,61.46679335832596
6112,69.62465006113052
6314,93.56253668665886
6445,62.26270666718483
6584,61.3907732963562
6781,86.21448186039925
6848,26.859853759407997
7023,81.54743519425392
7301,149.02094066143036
7401,36.674901485443115
7628,109.49119278788567
7801,71.75752884149551
7931,60.50154289603233
8263,145.1714079529047
8457,82.64309440553188
8680,112.64505305886269
8954,135.89919528365135
9232,134.10910695791245
9434,95.01658543944359
9808,163.5832783728838
9978,82.78971579670906
10311,149.3899687975645
10531,94.94717317819595
10711,82.18100681900978
10807,44.172582000494
10940,69.66402834653854
11095,76.38649865984917
11232,59.21517449617386
11427,93.08759497106075
11726,163.28646928071976
11878,67.22027015686035
12047,88.08826711773872
12232,91.0381511747837
12428,99.38278065621853
13158,390.5816879272461
13512,174.79634615778923
13663,78.08278074860573
13815,77.19838461279869
14115,140.3822953402996
14272,85.78245082497597
14399,64.59629213809967
14548,74.39636248350143
14738,107.71787783503532
14863,58.867858946323395
15231,180.2962325811386
15596,161.8484755307436
15804,102.30067282915115
16018,101.2995813190937
16192,99.50863936543465
16425,123.1651362478733
16595,81.64437729120255
16809,104.2095096707344
17010,101.62439849972725
17196,104.60296750068665
17478,131.3728722780943
17650,91.25286439061165
17938,154.77609553933144
18098,84.25719803571701
18287,99.67309555411339
