steps_by_episode,steps,episode,episode_reward,terminated,truncated,total_steps_with_skills
3193,3193,0,2065.410527869793,1,0,2535
2453,5646,1,1671.241367796593,1,0,1938
2295,7941,2,1703.5425637214908,1,0,1846
1679,9620,3,1286.4990822138614,1,0,1380
7501,17121,4,4074.0615683720366,0,1,4853
7501,24622,5,3737.1663282219765,0,1,4905
7501,32123,6,3863.83964383053,0,1,5592
7501,39624,7,3774.641364592944,0,1,5510
7501,47125,8,4214.882285255407,0,1,5722
7501,54626,9,4280.273894989682,0,1,4901
7501,62127,10,4284.415142871979,0,1,4969
7501,69628,11,4132.181098903255,0,1,4904
7501,77129,12,4527.112376805714,0,1,4589
7501,84630,13,4172.4642633371905,0,1,5071
1378,86008,14,1037.3120672084165,1,0,1039
7501,93509,15,4563.045153922187,0,1,5104
7501,101010,16,3390.9373689884524,0,1,5212
7501,108511,17,4789.18363884477,0,1,5015
7501,116012,18,4632.99401845307,0,1,5114
7501,123513,19,4423.929847303043,0,1,4988
7501,131014,20,4339.570423067274,0,1,5085
7501,138515,21,4752.159822584559,0,1,4979
7501,146016,22,4810.774218363954,0,1,4888
7501,153517,23,4699.185597393873,0,1,4890
7501,161018,24,4703.7098772763375,0,1,4970
7501,168519,25,4747.724696996729,0,1,4883
7501,176020,26,4753.292408934722,0,1,4772
7501,183521,27,4765.700592145486,0,1,4879
7501,191022,28,4780.187265188789,0,1,4810
7501,198523,29,4779.371887447335,0,1,4738
7501,206024,30,4715.188516736382,0,1,4902
7501,213525,31,4687.382040098446,0,1,4831
7501,221026,32,4671.451650452463,0,1,4754
7501,228527,33,4690.273536774008,0,1,4747
7501,236028,34,4778.087228472224,0,1,4772
7501,243529,35,4932.454823469255,0,1,4797
7501,251030,36,4726.810545149208,0,1,4684
7501,258531,37,4654.328546328704,0,1,4762
7501,266032,38,4772.0743826760845,0,1,4661
7501,273533,39,4748.924774420452,0,1,4626
7501,281034,40,4741.701819349549,0,1,4579
7501,288535,41,4715.151939134959,0,1,4590
7501,296036,42,4860.937662304211,0,1,4533
7501,303537,43,4776.159209457611,0,1,4527
7501,311038,44,4680.049171555644,0,1,4555
7501,318539,45,4734.1534839017195,0,1,4387
7501,326040,46,4717.128241998883,0,1,4409
7501,333541,47,4645.784230378212,0,1,4555
7501,341042,48,4758.239412788445,0,1,4478
7501,348543,49,4851.319933686629,0,1,4334
7501,356044,50,4824.789432783213,0,1,4459
7501,363545,51,4898.679908649498,0,1,4398
7501,371046,52,4860.30353572943,0,1,4336
7501,378547,53,4783.004335527443,0,1,4440
7501,386048,54,4738.882087109425,0,1,4428
7501,393549,55,4646.1430962355325,0,1,4434
7501,401050,56,4640.964887363622,0,1,4246
7501,408551,57,4676.601689492498,0,1,4349
7501,416052,58,4781.062715317921,0,1,4260
7501,423553,59,4774.368668689507,0,1,4299
7501,431054,60,4639.177136980413,0,1,4318
7501,438555,61,4672.876630261141,0,1,4226
7501,446056,62,4800.64265518279,0,1,4445
7501,453557,63,4802.050874357817,0,1,4256
7501,461058,64,4730.839767631228,0,1,4290
7501,468559,65,4815.234282704227,0,1,4247
7501,476060,66,4696.043896001114,0,1,4248
7501,483561,67,4758.628193167519,0,1,4160
7501,491062,68,4735.600211848629,0,1,4266
7501,498563,69,4787.057181471646,0,1,4190
7501,506064,70,4769.564206133618,0,1,4150
7501,513565,71,4712.212022438629,0,1,4103
7501,521066,72,4726.555128482739,0,1,4158
132,521198,73,83.25179928270627,1,0,65
7501,528699,74,4712.442878568146,0,1,4005
7501,536200,75,4699.509957017046,0,1,4096
7501,543701,76,4737.187769914871,0,1,4161
7501,551202,77,4648.198936235221,0,1,4145
7501,558703,78,4728.71059717779,0,1,4184
7501,566204,79,4740.084553001957,0,1,4159
7501,573705,80,4690.9837918415615,0,1,4167
7501,581206,81,4642.782177539708,0,1,4057
7501,588707,82,4639.071383070679,0,1,4009
7501,596208,83,4656.270806275755,0,1,4138
7501,603709,84,4649.4974290983355,0,1,4112
7501,611210,85,4700.917731282471,0,1,4027
7501,618711,86,4724.807615753192,0,1,3959
7501,626212,87,4698.752418867572,0,1,4018
7501,633713,88,4632.587397211256,0,1,4058
7501,641214,89,4683.58864054558,0,1,4042
7501,648715,90,4710.184986589254,0,1,4023
7501,656216,91,4710.932498085632,0,1,3921
7501,663717,92,4813.431326658655,0,1,4027
7501,671218,93,4756.323348967841,0,1,4060
7501,678719,94,4785.441119923099,0,1,4129
7501,686220,95,4736.1237454191805,0,1,3941
7501,693721,96,4732.273943059871,0,1,4116
7501,701222,97,4697.230825320935,0,1,4091
7501,708723,98,4762.7111870131785,0,1,4019
7501,716224,99,4743.226892196355,0,1,4025
7501,723725,100,4672.846458266736,0,1,4057
7501,731226,101,4626.009608919557,0,1,4007
187,731413,102,115.99172225679577,1,0,85
7501,738914,103,4628.666009584438,0,1,4013
7501,746415,104,4669.758685826646,0,1,3902
7501,753916,105,4702.999246757637,0,1,4070
7501,761417,106,4693.755978753403,0,1,4000
7501,768918,107,4668.861217930188,0,1,3953
7501,776419,108,4627.380093383438,0,1,3978
7501,783920,109,4665.621593276732,0,1,3854
7501,791421,110,4626.730076930884,0,1,3972
7501,798922,111,4657.991878359077,0,1,4066
7501,806423,112,4676.587619370267,0,1,3981
7501,813924,113,4690.490235569785,0,1,3967
7501,821425,114,4730.939901670793,0,1,3994
7501,828926,115,4682.245055268412,0,1,4035
7501,836427,116,4667.335169304661,0,1,3991
7501,843928,117,4691.462045706257,0,1,3978
7501,851429,118,4666.657101958398,0,1,4038
7501,858930,119,4700.944104305703,0,1,3956
7501,866431,120,4664.315118284804,0,1,3963
7501,873932,121,4673.818468371391,0,1,3951
7501,881433,122,4630.7173106141445,0,1,3919
7501,888934,123,4622.770819399718,0,1,3936
7501,896435,124,4645.555208838234,0,1,3986
7501,903936,125,4612.793761424671,0,1,4013
7501,911437,126,4649.911836228147,0,1,3981
7501,918938,127,4614.593490429193,0,1,3961
7501,926439,128,4618.8226567709,0,1,3954
7501,933940,129,4624.355706928162,0,1,3946
7501,941441,130,4608.442905312499,0,1,3972
7501,948942,131,4643.990299563303,0,1,3991
7501,956443,132,4625.368659813141,0,1,3972
7501,963944,133,4625.434421603006,0,1,3930
7501,971445,134,4618.621611819536,0,1,4019
7501,978946,135,4547.519548567731,0,1,3978
7501,986447,136,4559.869444051853,0,1,3996
867,987314,137,676.7522234635998,1,0,460
7501,994815,138,4621.675591972626,0,1,3891
