steps_by_episode,steps,episode,episode_reward,terminated,truncated,total_steps_with_skills
6001,330969,59,3736.5031184948048,0,1,3580
6001,336970,60,3800.2751998715275,0,1,3592
6001,342971,61,3883.299835786874,0,1,3710
6001,348972,62,3788.759013761264,0,1,3580
6001,354973,63,3751.9425207226336,0,1,3584
6001,360974,64,3795.844196007464,0,1,3593
6001,366975,65,3844.3206398323728,0,1,3671
6001,372976,66,4107.439152763517,0,1,3423
6001,378977,67,4211.612478652214,0,1,3007
6001,384978,68,3923.303849412427,0,1,3518
6001,390979,69,3826.8337386210146,0,1,3503
6001,396980,70,4067.654457735272,0,1,3428
6001,402981,71,3977.9436809737017,0,1,3534
6001,408982,72,4019.723348169388,0,1,3278
6001,414983,73,3977.4490296347612,0,1,3483
1098,416081,74,863.1844277721315,1,0,633
6001,422082,75,4002.067384954144,0,1,3461
6001,428083,76,4075.0673602320603,0,1,2713
6001,434084,77,4067.2549924834534,0,1,3095
6001,440085,78,4131.312880947681,0,1,2096
6001,446086,79,4143.80144798188,0,1,1897
6001,452087,80,4005.7885564177705,0,1,3146
6001,458088,81,4081.4862003212966,0,1,1839
6001,464089,82,4089.300578805678,0,1,2047
1041,465130,83,821.1039057331969,1,0,594
6001,471131,84,3974.3791816143384,0,1,3292
6001,477132,85,3935.5526234702825,0,1,3334
6001,483133,86,3859.515474154794,0,1,3477
6001,489134,87,3886.7231320089427,0,1,3444
6001,495135,88,4034.753548289623,0,1,2638
6001,501136,89,3926.214199681641,0,1,3423
6001,507137,90,3991.6081870383573,0,1,3304
6001,513138,91,4030.474379257901,0,1,2512
1061,514199,92,822.9058663499051,1,0,609
6001,520200,93,3871.8622787801232,0,1,3330
6001,526201,94,3949.284362425022,0,1,3167
6001,532202,95,3994.1471032872355,0,1,3272
6001,538203,96,4009.332809858662,0,1,2880
6001,544204,97,4010.469739000883,0,1,2701
6001,550205,98,4002.126862800461,0,1,3132
6001,556206,99,4023.9169026092336,0,1,3115
981,557187,100,777.9810337656818,1,0,524
927,558114,101,750.6490851527127,1,0,535
6001,564115,102,3753.9547908968775,0,1,3397
6001,570116,103,3779.8681229550825,0,1,3401
6001,576117,104,3947.728307672483,0,1,3330
976,577093,105,786.7059968656506,1,0,558
6001,583094,106,4089.5003022880396,0,1,3317
6001,589095,107,4272.43274868725,0,1,1606
6001,595096,108,4287.429097845247,0,1,1973
6001,601097,109,4240.940123864062,0,1,3057
6001,607098,110,4259.935200808173,0,1,3273
6001,613099,111,4287.72653052717,0,1,2414
6001,619100,112,4184.926954842993,0,1,1598
6001,625101,113,4265.0871274136725,0,1,2595
6001,631102,114,4184.36036600201,0,1,3250
6001,637103,115,4248.950970706672,0,1,3083
6001,643104,116,4238.71830782025,0,1,3215
6001,649105,117,4194.722051467778,0,1,2630
6001,655106,118,4130.977036723714,0,1,3031
6001,661107,119,4137.442803294578,0,1,2965
6001,667108,120,4077.4656283759223,0,1,3343
6001,673109,121,4197.896841508711,0,1,3284
6001,679110,122,4279.911023857938,0,1,1545
6001,685111,123,4258.432890937849,0,1,2651
6001,691112,124,4232.352881990616,0,1,2042
1465,692577,125,1101.5671561667007,1,0,752
1114,693691,126,882.6387601791199,1,0,625
6001,699692,127,4053.7802663158145,0,1,3293
6001,705693,128,4089.7737019435094,0,1,3134
6001,711694,129,3948.3385270424214,0,1,3207
6001,717695,130,3944.833897820947,0,1,3304
6001,723696,131,3966.655015903494,0,1,3236
6001,729697,132,4039.0793111782464,0,1,2989
866,730563,133,706.0982646222983,1,0,486
6001,736564,134,4019.3334793316963,0,1,3211
1090,737654,135,867.4899876488545,1,0,561
6001,743655,136,4124.021305674779,0,1,2625
6001,749656,137,4201.870679587312,0,1,1825
945,750601,138,759.7845440923501,1,0,505
802,751403,139,652.7001914575112,1,0,422
6001,757404,140,3941.075141675504,0,1,3245
847,758251,141,686.7248883228568,1,0,453
6001,764252,142,3879.0429208271694,0,1,3208
6001,770253,143,3952.7578758457994,0,1,3249
6001,776254,144,4003.9668214493945,0,1,3104
871,777125,145,706.5764995978176,1,0,467
6001,783126,146,3926.242592509953,0,1,3202
902,784028,147,728.9931910165668,1,0,489
6001,790029,148,3929.725750143265,0,1,3225
913,790942,149,743.1562210222987,1,0,535
6001,796943,150,3998.272632954088,0,1,3072
843,797786,151,678.0358402384282,1,0,460
6001,803787,152,3988.7271543719485,0,1,3203
894,804681,153,718.3966837035971,1,0,490
6001,810682,154,4085.4972700523467,0,1,1744
1141,811823,155,884.7824548825582,1,0,610
1119,812942,156,877.0223837068435,1,0,599
1102,814044,157,862.5692754368525,1,0,571
1018,815062,158,798.6235022891349,1,0,543
1021,816083,159,786.9319419399308,1,0,549
951,817034,160,725.3350502161871,1,0,507
1330,818364,161,956.3455526636316,1,0,712
998,819362,162,767.4000480499137,1,0,531
6001,825363,163,3722.219787171086,0,1,3225
6001,831364,164,3654.3438783092706,0,1,3087
1134,832498,165,837.805500023847,1,0,606
6001,838499,166,3781.528184409063,0,1,3313
6001,844500,167,3981.331950585662,0,1,2619
6001,850501,168,4083.6071561981466,0,1,1520
886,851387,169,712.7080607197273,1,0,483
6001,857388,170,3955.3638928983078,0,1,3161
6001,863389,171,4061.3609422046256,0,1,2345
899,864288,172,737.3735153994778,1,0,483
6001,870289,173,3870.060060553933,0,1,3212
6001,876290,174,3933.9463470344185,0,1,3159
6001,882291,175,3978.545138564316,0,1,2957
6001,888292,176,3978.675292565374,0,1,2957
806,889098,177,657.7765582169969,1,0,425
6001,895099,178,3861.2195659904687,0,1,3194
6001,901100,179,3875.264536324996,0,1,3155
6001,907101,180,4064.2233144733586,0,1,2558
6001,913102,181,3920.5657276391967,0,1,3221
6001,919103,182,3989.3875371479508,0,1,3144
795,919898,183,649.9777004081326,1,0,440
6001,925899,184,3926.5709429232447,0,1,3160
828,926727,185,674.9526919796446,1,0,445
6001,932728,186,3905.231378286522,0,1,3213
6001,938729,187,4017.8747473135495,0,1,2821
823,939552,188,660.6576156020034,1,0,426
6001,945553,189,3935.565737545494,0,1,3154
6001,951554,190,3989.0803415747546,0,1,2813
884,952438,191,709.3700468969976,1,0,483
6001,958439,192,3901.0382366550753,0,1,3234
6001,964440,193,3952.262390584934,0,1,3099
829,965269,194,678.9721249130304,1,0,466
6001,971270,195,3883.6598031877065,0,1,3140
857,972127,196,690.8515544478704,1,0,449
6001,978128,197,3884.013605151119,0,1,3247
6001,984129,198,4006.6905635078533,0,1,2778
6001,990130,199,4021.2094794924824,0,1,2610
829,990959,200,676.4989693856174,1,0,442
6001,996960,201,3956.598944540953,0,1,3159
806,997766,202,655.2691590979608,1,0,394
