steps,episode_reward
205,113.86324200034142
445,120.3757455945015
700,128.71772411465645
950,136.14194864034653
1055,58.93296965956688
1097,22.665955424308777
1241,76.5813310444355
1498,129.0006826519966
1664,82.10253790020943
1720,27.81374254822731
1845,70.25290304422379
2042,101.01131898164749
2158,51.67179721593857
2341,97.05495876073837
2502,82.5235256254673
2712,106.54345777630806
3170,228.52303379774094
3271,52.49871090054512
3613,167.130391061306
3811,103.36762401461601
4012,97.37755778431892
4135,51.8374307602644
4356,114.15723070502281
4490,72.43664833903313
4592,43.47128564119339
4758,86.15800356864929
4804,25.357312977313995
4970,77.68836569786072
5049,50.16368269920349
5397,179.42152068018913
5546,69.00613906979561
5611,36.27845472097397
5885,148.94041502475739
6042,80.99023750424385
6351,152.82450404763222
6476,62.651823967695236
6669,96.34770256280899
6953,152.46156045794487
7076,52.505799025297165
7239,89.17445927858353
7447,96.0346565246582
7599,84.64207541942596
7710,57.43302774429321
7924,107.02425155043602
8062,72.24761790037155
8118,25.50087136030197
8353,121.07036229968071
8438,49.05391228199005
8704,143.52681410312653
8865,90.7133316397667
9109,132.78475683927536
9470,195.18894582986832
9562,50.001366555690765
9917,186.1625171303749
10130,113.14968022704124
10238,56.06922683119774
10420,95.16097873449326
10660,149.33885711431503
10851,99.30207568407059
11079,116.94906550645828
11316,138.48776349425316
11482,86.4511893093586
11657,82.75834053754807
11770,63.14514297246933
11900,70.14975771307945
12146,130.16345477104187
12449,145.18833996355534
12668,115.45499101281166
13080,222.87067031860352
13268,92.8090156018734
13562,173.27010226249695
13719,83.45487847924232
13945,134.44961008429527
14242,161.8920855820179
14422,114.6324046254158
14633,121.60058152675629
15021,221.34010192751884
15359,178.18648704886436
15835,259.7732937633991
16073,128.60236343741417
16362,142.22639173269272
16571,115.79987207055092
17132,331.25358176231384
17320,103.87028396129608
17430,63.15108686685562
18289,539.0606638491154
18714,242.49607452750206
18989,160.88403221964836
19239,134.82785829901695
19612,183.1553475856781
19765,79.6875903904438
20000,138.07471376657486
20169,88.69925507903099
20301,68.9082233607769
20561,156.5289072394371
20742,105.81797069311142
20874,72.59168291091919
21053,94.83689498901367
21155,55.81417691707611
21499,177.95993593335152
21888,248.98763793706894
22480,314.29644551873207
22699,103.79631435871124
22934,134.41977486014366
23113,110.59618800878525
23320,113.11916488409042
23570,140.92305824160576
23660,52.60735139250755
23977,192.1500095129013
24262,158.2410320341587
24433,95.65702602267265
24640,118.8977155983448
24998,227.6879379451275
25469,266.3560748398304
25760,183.097382158041
26190,287.69994789361954
26501,178.33978715538979
26825,204.83074566721916
27014,108.72218865156174
27212,115.2096258699894
27620,262.41434222459793
27880,136.9848453104496
28075,110.68332433700562
28487,222.1175628900528
28974,292.5514899790287
29078,54.85695493221283
29405,203.52402278780937
29583,102.27943605184555
29958,239.6172475516796
30274,188.26370137929916
30603,194.9009582400322
30834,145.28418588638306
31680,562.9552846848965
31945,163.2330571115017
32220,175.9546289741993
32665,241.5741187185049
32969,191.35438084602356
33476,344.20940259099007
33949,307.69915863871574
34234,158.14369732141495
34399,107.77043971419334
34601,134.51664438843727
34800,107.63830643892288
35129,242.84082502126694
35484,211.41035732626915
35872,247.68312230706215
36308,305.3145754337311
36542,160.7675707936287
36946,258.69306296110153
37056,66.81151515245438
37421,254.99715128540993
37763,236.55070027709007
38156,268.50464737415314
38332,115.25717324018478
38636,201.9813760817051
38991,247.39601415395737
39302,198.0601496398449
39612,207.52089497447014
39965,215.46561127901077
40377,310.2563605904579
40868,330.3172315955162
41257,256.0630949437618
41884,439.07227396965027
42498,424.3217306137085
42892,274.534313172102
43293,289.25880643725395
44142,538.2659412026405
44498,257.2092650234699
44748,180.47895741462708
45314,383.55019173026085
45798,331.01550033688545
46369,404.459012567997
46783,296.29021871089935
47120,234.84707421064377
47405,197.85083037614822
47735,246.52340319752693
48158,279.31367033720016
49342,644.6637807786465
49751,269.220556050539
50010,184.34999683499336
50402,280.8966647684574
51014,408.2108131349087
51627,397.3132704794407
52088,317.7863331735134
52338,187.91345086693764
52727,264.31919556856155
53006,210.7681301832199
53240,156.00763288140297
54417,503.7485118545592
54958,363.60820484161377
56061,433.3686788014311
56457,271.0140061676502
56665,146.90824696421623
56932,189.93176126480103
57067,93.62976962327957
57542,329.75077548623085
57785,175.27974545955658
57990,152.87900945544243
58624,409.68394061923027
58813,141.1629457473755
58994,137.43479979038239
59253,177.76758673787117
59787,373.37599793076515
60481,439.7605738043785
60624,111.66577291488647
61169,374.220387339592
61469,213.2488714158535
61583,68.6786390542984
62753,469.2560729108518
62985,169.98631536960602
63286,216.8149388730526
63641,257.6150079369545
63859,164.7883399128914
64209,230.99710536003113
64587,242.83700543642044
64884,226.564832508564
66150,374.2765087162552
66927,380.23768954724073
67349,301.29085552692413
68389,459.7013051282265
68839,295.94034269452095
69603,265.85166732023936
69770,131.40707257390022
70642,330.7554853496258
71319,358.604462698102
71787,270.33889731764793
72768,364.6012185601285
73291,319.9537571966648
73824,305.51390458643436
74198,239.53449565172195
74476,196.97280821204185
75409,324.4166266308166
75582,129.58545556664467
75876,206.47526642680168
76347,294.77802604436874
76531,145.21256530284882
77178,248.74540516300476
77819,232.218500245639
78156,219.81999948620796
78744,292.1403229609132
79463,233.45920103322715
79758,214.927548289299
80757,489.3204725943506
81367,209.96008441096637
82500,582.9808027285617
83131,290.5700784549117
83316,143.92509642243385
84073,300.73509243986337
84884,358.2548530937638
85800,378.9479945817002
86760,444.60168017825345
87607,339.80769760631665
88099,289.0906547307968
89192,557.1032958850265
89876,362.23332895338535
90252,262.5217660367489
90987,337.9424642920494
91540,319.8354877233505
92299,333.86585968831787
92622,215.34662976861
93278,356.60271291434765
93816,269.7516529969871
94890,428.8518267807958
95666,268.63948250733665
96269,301.57735642790794
97015,284.2328998402845
98086,586.1458016261458
98815,469.10800233483315
100092,513.0995235467562
100957,355.9246850418858
101486,287.88480055332184
101918,302.59190261363983
102109,144.37439182400703
102532,304.9061578810215
102751,166.41935712099075
103017,198.00978589057922
103725,296.6855083703995
104725,289.29045881214734
104897,122.74556010961533
105155,198.41774362325668
105391,175.18980944156647
106911,494.17161969834706
107456,330.9667731821537
107682,170.11572575569153
108637,562.7411422189325
110095,569.577111408873
110449,247.84123235940933
110788,248.05222475528717
111084,204.55720645189285
112207,396.33086791902315
112566,241.62642285227776
113306,447.4764302074909
113902,408.0697850883007
115256,532.0972603925038
115871,397.04614609479904
116480,390.8918347656727
117195,421.2921890616417
117486,191.8293341100216
118476,553.2880339622498
119103,419.8622341156006
119377,170.17116251587868
119870,309.94134321808815
120233,257.5198940038681
120556,211.0763964354992
122557,785.0796972948592
123447,505.88132482767105
123767,218.97779881954193
123829,42.00595432519913
125006,707.6060554236174
125169,116.41608327627182
126706,880.7302832305431
126923,146.12505704164505
127193,185.21619004011154
127573,261.2676377594471
