steps,episode_reward
175,100.64317780733109
420,146.809956908226
570,74.59613493084908
682,65.44567000865936
784,55.76203528046608
874,49.147941410541534
991,70.16014617681503
1166,96.2990944981575
1355,107.31738784909248
1484,61.80128216743469
1631,78.84698975086212
1895,145.0072684586048
2015,63.774113327264786
2135,59.81443837285042
2316,99.61711457371712
2456,86.21802467107773
2684,138.0309699177742
2810,73.37321338057518
2974,93.63984388113022
3221,156.02442103624344
3342,69.18997517228127
3443,56.092248409986496
3620,98.01847898960114
3653,14.54541888833046
3820,92.29751628637314
3953,69.71526634693146
4184,132.4155385196209
4382,116.93564069271088
4600,129.2241159081459
4911,178.5084076821804
5094,107.5895094871521
5208,64.97178736329079
5302,59.55607137084007
5420,69.00969380140305
5693,156.32124164700508
5973,165.82548007369041
6255,171.53136885166168
6410,97.80784997344017
6681,165.22055035829544
6793,59.44503989815712
6961,88.97012025117874
7662,420.70841640233994
7872,115.40646064281464
8042,90.76431387662888
8146,56.5910179913044
8535,235.96917614340782
8651,65.88591858744621
8904,150.53152433037758
9182,161.34302112460136
9341,96.75333204865456
9445,59.74932819604874
9574,74.12498593330383
9780,129.94662383198738
10044,164.47546902298927
10289,139.16969001293182
10617,213.88202288746834
10897,153.6559981405735
11372,286.84738674759865
11618,150.23109576106071
11782,99.6453283727169
12202,249.00027111172676
12731,288.3385400772095
12844,62.591324388980865
13305,295.73619571328163
13543,148.2724843621254
13678,79.03886219859123
13826,86.21328800916672
14084,149.9647332727909
14252,99.32264131307602
14428,97.17777368426323
14743,181.9664586186409
15157,269.3429321050644
15330,99.32426464557648
15471,84.45383709669113
15839,216.87857553362846
16047,107.38929763436317
16280,141.0443104505539
16514,146.39142882823944
16814,190.5919966697693
16892,46.56815207004547
17629,392.47792160511017
17838,122.49601185321808
18096,161.26973429322243
18225,64.83666628599167
18400,106.1386401951313
18565,99.12079393863678
18751,104.06699475646019
18905,96.77735349535942
19150,160.31866145133972
19317,119.17766371369362
19573,151.67273223400116
20129,363.4235851466656
20409,173.74069273471832
21098,417.20073133707047
21211,72.273612678051
21376,100.418301820755
21547,108.10367313027382
21966,242.74364417791367
22199,141.3381229043007
22426,117.8220202922821
22693,151.9777567088604
22921,139.3350322842598
23596,395.87680691480637
23750,88.49426653981209
23964,122.02703657746315
24498,357.99118092656136
24899,235.51163491606712
25212,194.32579937577248
25413,129.41584694385529
25690,176.71774837374687
25972,179.38802060484886
26190,135.6695874631405
26622,279.71611672639847
27136,308.3418570458889
27719,371.86470049619675
28253,375.2677333056927
29179,507.9434264600277
29509,229.88460445404053
30242,428.88421511650085
30391,98.74169373512268
30700,194.39871129393578
30939,155.5083331465721
31107,87.77213397622108
31631,369.0414919257164
32061,253.19679620862007
32731,451.394732683897
32921,125.44459089636803
33475,344.6026894748211
33782,211.61975246667862
34169,257.05784970521927
34575,254.13142386078835
34942,237.49007061123848
35547,364.34301087260246
36336,491.15791153907776
36926,419.4106187224388
37290,245.3799400627613
37748,322.1116501092911
38332,375.91692250967026
38584,175.76900684833527
39449,494.31631749868393
40450,579.1253181099892
40600,100.10422775149345
41159,381.1550890803337
41597,319.37537655234337
42022,285.96840223670006
42512,315.09653252363205
42855,240.19474318623543
43139,205.10469710826874
43623,345.1249842941761
44624,514.1501514166594
44994,266.10048672556877
45108,75.5691564977169
46109,522.3117701858282
46201,63.78357297182083
46922,428.3369045853615
47252,232.03262105584145
47760,366.7410479784012
48245,346.14643159508705
48637,288.60487228631973
49076,281.3280771970749
49570,321.5244236290455
50489,499.14105448126793
51490,419.41316851228476
52491,562.1113105714321
52899,283.63162422180176
53900,524.6434385031462
54901,601.8121149539948
55149,182.94084560871124
55799,382.89451137185097
56184,268.43825498223305
56637,315.2707684338093
56925,215.76759868860245
57045,94.83635258674622
57196,106.441903591156
58197,518.9813022017479
58861,382.81702893972397
59618,487.5243264734745
59957,244.10982790589333
60310,242.01726934313774
60884,419.7646279036999
61586,473.52026039361954
62587,425.45454121381044
63588,596.5745340287685
63637,34.313845217227936
63965,231.35932272672653
64966,420.1367175653577
65166,139.30169659852982
65341,139.4629688858986
65418,52.983350306749344
65569,119.35506474971771
65857,204.67985126376152
66049,151.14165407419205
67050,542.6445892453194
68014,561.9472416490316
68302,230.62530148029327
68927,364.64290422201157
69122,152.50099623203278
69272,108.47018668055534
69764,359.8467951118946
69928,119.97859144210815
70147,153.17585471272469
70518,260.798293620348
70653,86.81912636756897
71654,526.4447152912617
71880,162.51149189472198
72485,357.24194902181625
73486,563.1807418912649
74169,424.55968672037125
75170,692.6829277575016
75483,224.4480800330639
76435,600.476142436266
76648,157.30110031366348
76865,147.54713660478592
77551,420.58626288175583
78383,530.6095946729183
78619,162.5115977525711
79620,581.4694740772247
80427,536.4100175499916
80909,311.4540898501873
81910,588.5182341337204
82735,530.8548002541065
83615,608.8573832809925
84484,566.0660426914692
84891,270.7411694228649
85119,145.89584317803383
85349,161.93884739279747
86350,604.4578102827072
87010,448.0718196630478
87276,202.45358991622925
88277,630.2566362917423
89278,501.59099847078323
90279,587.0921031832695
91280,567.6161535680294
92281,530.0917368233204
93282,561.9677564501762
93715,317.23411828279495
94078,247.1411690711975
94633,379.8344919681549
95547,567.8444438278675
96262,471.05028238892555
96544,188.58047088980675
97545,593.7344850301743
98543,621.7433414757252
99432,543.8454661667347
100077,427.89671725034714
100754,466.25382509827614
101707,573.7562393993139
102708,592.8579208850861
103042,249.26045191287994
103410,262.98222398757935
104149,485.5696355700493
104918,498.513303399086
105919,581.2883351147175
106520,427.4544496834278
106663,113.99412673711777
107664,531.6096883714199
