steps_by_episode,steps,episode,episode_reward,terminated,truncated,total_steps_with_skills
2612,2612,0,1779.9453843728077,1,0,2070
1401,4013,1,1167.5612389619,1,0,1166
3501,7514,2,2441.885818117096,0,1,1340
1291,8805,3,1069.0829117481476,1,0,1039
1123,9928,4,951.2991500330007,1,0,898
1125,11053,5,937.5627068667967,1,0,920
3501,14554,6,2281.3591741726837,0,1,1890
3501,18055,7,2101.089872132994,0,1,2215
3501,21556,8,1995.379081795105,0,1,2402
3501,25057,9,2187.821205206894,0,1,2276
3501,28558,10,2222.3583224050135,0,1,2527
3501,32059,11,2092.592020395935,0,1,2797
3501,35560,12,2119.66205947989,0,1,2733
3501,39061,13,2311.299621237308,0,1,2503
3501,42562,14,2381.386168201194,0,1,2709
3501,46063,15,1276.4333508740667,0,1,2735
3501,49564,16,1193.2612304317572,0,1,2674
3501,53065,17,1997.0574327767606,0,1,2561
3501,56566,18,1828.258369662308,0,1,2657
3501,60067,19,1837.529698611532,0,1,2626
3501,63568,20,2413.0128016236263,0,1,2614
3501,67069,21,1667.8038661499775,0,1,2642
3501,70570,22,1609.7701874228237,0,1,2622
3501,74071,23,1522.9888640545182,0,1,2613
3501,77572,24,2107.186672998812,0,1,2525
1663,79235,25,1249.5080323647874,1,0,1234
3501,82736,26,2409.3132322715596,0,1,2342
3501,86237,27,2457.858322612922,0,1,2461
3501,89738,28,2452.0424075342607,0,1,2427
3501,93239,29,2202.8869175393347,0,1,2547
3501,96740,30,2455.507175744341,0,1,2371
3501,100241,31,2463.801019729191,0,1,2303
3501,103742,32,2538.6236079890537,0,1,2439
3501,107243,33,2248.343985015161,0,1,2590
3501,110744,34,2314.547031800844,0,1,2434
3501,114245,35,2260.4866969477457,0,1,2528
3501,117746,36,1962.6798734876375,0,1,2525
3501,121247,37,2386.28233953148,0,1,2441
3501,124748,38,2222.1524328728865,0,1,2507
3501,128249,39,2137.648811305768,0,1,2483
3501,131750,40,2072.0430393360175,0,1,2489
3501,135251,41,2076.571761780269,0,1,2428
3501,138752,42,2117.460411048052,0,1,2440
3501,142253,43,2129.6525190193693,0,1,2455
3501,145754,44,2221.92713295466,0,1,2468
3501,149255,45,2239.6154341064516,0,1,2441
3501,152756,46,2252.878696778381,0,1,2323
3501,156257,47,2149.2528719738816,0,1,2422
3501,159758,48,2145.7000554002143,0,1,2411
3501,163259,49,2034.3962970518996,0,1,2408
3501,166760,50,2200.290927322354,0,1,2332
3501,170261,51,2202.809055774269,0,1,2382
3501,173762,52,2214.3614405675353,0,1,2403
3501,177263,53,2132.3291737015934,0,1,2371
3501,180764,54,2050.9588998306067,0,1,2389
3501,184265,55,2128.39034267485,0,1,2418
3501,187766,56,2238.574114694005,0,1,2336
3501,191267,57,1909.9241462143866,0,1,2305
3501,194768,58,1981.6244639030815,0,1,2321
3501,198269,59,2069.3956194034704,0,1,2267
3501,201770,60,2097.487448514204,0,1,2220
3501,205271,61,2070.9092032447024,0,1,2331
3501,208772,62,2054.5548676739295,0,1,2261
3501,212273,63,2074.693165642395,0,1,2267
3501,215774,64,2041.3120716282413,0,1,2256
3501,219275,65,2158.877694730177,0,1,2242
3501,222776,66,2184.25214851813,0,1,2281
3501,226277,67,2226.637277877148,0,1,2266
3501,229778,68,2307.0537684785613,0,1,2291
3501,233279,69,2265.9635840949836,0,1,2275
3501,236780,70,2251.214237215529,0,1,2298
3501,240281,71,2181.526655679078,0,1,2259
3501,243782,72,2229.4292346398242,0,1,2264
3501,247283,73,2321.6216911712695,0,1,2189
3501,250784,74,2251.7767314740677,0,1,2279
3501,254285,75,2168.741699651629,0,1,2215
3501,257786,76,2229.0672290132175,0,1,2144
3501,261287,77,2351.6595700969447,0,1,2294
3501,264788,78,2353.8830279159206,0,1,2161
3501,268289,79,2334.334327265781,0,1,2195
3501,271790,80,2424.239898568847,0,1,2226
3501,275291,81,2376.5572803847663,0,1,2130
3501,278792,82,2370.905927986576,0,1,2112
3501,282293,83,2419.133043708178,0,1,2072
3501,285794,84,2522.373224859029,0,1,2179
3501,289295,85,2439.9127609346524,0,1,2226
3501,292796,86,2432.49460307579,0,1,2193
3501,296297,87,2427.3415731039486,0,1,2065
3501,299798,88,2430.6880215444758,0,1,1922
3501,303299,89,2380.9369847799344,0,1,2081
